task,encoding,run,C1,C2,C3,C4,C5,C6,CSR_obj,CSR_normal,CSR_counter,status,notes
MC-BE-05,H,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,H,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,H,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,NLc,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,NLc,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,NLc,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,NLf,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,NLf,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-05,NLf,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,H,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,H,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,H,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,NLc,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,NLc,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,NLc,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,NLf,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,NLf,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-BE-06,NLf,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,H,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,H,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,H,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,NLc,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,NLc,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,NLc,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,NLf,1,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,NLf,2,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-05,NLf,3,PASS,PASS,PASS,PASS,PASS,PASS,1.0,1.0,1.0,PASS,
MC-PY-06,H,1,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,H,2,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,H,3,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,NLc,1,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,NLc,2,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,NLc,3,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,NLf,1,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,NLf,2,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
MC-PY-06,NLf,3,PASS,FAIL,PASS,PASS,PASS,PASS,0.833,1.0,0.5,PARTIAL,C2
